IATA_CODE,AIRPORT,CITY,STATE_CODE_AIRPORT,COUNTRY_AIRPORT,LATITUDE_AIRPORT,LONGITUDE_AIRPORT,STATION,STATION_DISTANCE,TMAX,TMIN,PRCP,SNOW,TOTAL,LATITUDE_STATION,LONGITUDE_STATION,STATE_CODE,NAME_STATION,COUNTRY_STATION,AIRPORT_STATION_DUMMY
PSC,Tri-Cities Airport,Pasco,WA,USA,46.26468,-119.11903,USW00024163,0.288,0,0,0,1,1,46.2667,-119.1167,WA,PASCO TRI CITIES AP,United States,TRUE
PSE,Mercedita Airport,Ponce,PR,USA,18.0083,-66.56301,RQ1PRPC0001,2.793,140,140,0,139,419,18.0046,-66.5891,PR,PONCE 1.8 NE,Puerto Rico [United States],FALSE
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA,56.80165,-132.94528,USW00025329,0.66,0,0,0,0,0,56.8056,-132.9372,AK,PETERSBURG 1,United States,FALSE
PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625,USW00093138,0.153,0,0,0,11,11,33.8281,-116.5053,CA,PALM SPRINGS RGNL AP,United States,TRUE
PUB,Pueblo Memorial Airport,Pueblo,CO,USA,38.28909,-104.49657,USW00093058,0.182,0,0,0,0,0,38.29,-104.4983,CO,PUEBLO MEM AP,United States,TRUE
PVD,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822,USW00014765,0.426,0,0,0,0,0,41.7219,-71.4325,RI,PROVIDENCE T F GREEN AP,United States,TRUE
PWM,Portland International Jetport,Portland,ME,USA,43.64617,-70.30875,USW00014764,0.786,0,0,0,0,0,43.6497,-70.3003,ME,PORTLAND INTL JETPORT,United States,FALSE
RAP,Rapid City Regional Airport,Rapid City,SD,USA,44.04532,-103.05737,USW00024090,0.376,0,0,0,0,0,44.0433,-103.0536,SD,RAPID CITY RGNL AP,United States,TRUE
RDD,Redding Municipal Airport,Redding,CA,USA,40.50898,-122.2934,USR0000CREA,0.795,0,0,365,365,730,40.5158,-122.2906,CA,REDDING AIRPORT CALIFORNIA,United States,TRUE
RDM,Redmond Municipal Airport-á(Roberts Field),Redmond,OR,USA,44.25407,-121.14996,USC00357050,0.706,71,71,15,0,157,44.2603,-121.1483,OR,REDMOND AIR CTR,United States,FALSE
RDU,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747,USW00013722,1.697,0,0,0,0,0,35.8922,-78.7819,NC,RALEIGH DURHAM INTL AP,United States,TRUE
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA,45.63119,-89.46745,USW00004803,0.173,0,0,0,2,2,45.6308,-89.4653,WI,RHINELANDER ONEIDA AP,United States,TRUE
RIC,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967,USW00013740,0.059,0,0,0,0,0,37.505,-77.3203,VA,RICHMOND INTL AP,United States,TRUE
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA,41.59422,-109.06519,USW00024027,1.032,0,1,0,365,366,41.5944,-109.0528,WY,ROCK SPRINGS AP,United States,TRUE
RNO,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806,USW00023185,1.655,0,0,0,0,0,39.4839,-119.7711,NV,RENO TAHOE INTL AP,United States,TRUE
ROA,Roanoke Regional Airport-á(Woodrum Field),Roanoke,VA,USA,37.32547,-79.97543,USW00013741,0.96,0,0,0,0,0,37.3169,-79.9742,VA,ROANOKE RGNL AP,United States,TRUE
ROC,Greater Rochester International Airport,Rochester,NY,USA,43.11887,-77.67238,USW00014768,0.426,0,0,0,0,0,43.1167,-77.6767,NY,ROCHESTER GTR INTL AP,United States,TRUE
ROW,Roswell International Air Center,Roswell,NM,USA,33.30156,-104.53056,USW00023009,2.174,0,0,0,0,0,33.3075,-104.5083,NM,ROSWELL IND AIR PK,United States,FALSE
RST,Rochester International Airport,Rochester,MN,USA,43.90883,-92.49799,USW00014925,0.721,0,0,0,0,0,43.9042,-92.4917,MN,ROCHESTER INTL AP,United States,TRUE
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517,USW00012894,0.019,0,0,0,365,365,26.5361,-81.755,FL,FT MYERS SW FL RGNL AP,United States,TRUE
SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA,35.61678,-106.08814,USW00023049,0.07,2,2,3,364,371,35.6169,-106.0889,NM,SANTA FE CO MUNI AP,United States,TRUE
SAN,San Diego International Airport-á(Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966,USW00023188,0.614,0,0,0,365,365,32.7336,-117.1831,CA,SAN DIEGO LINDBERGH FLD,United States,FALSE
SAT,San Antonio International Airport,San Antonio,TX,USA,29.53369,-98.46978,USW00012921,1.8,0,0,0,0,0,29.5442,-98.4839,TX,SAN ANTONIO INTL AP,United States,TRUE
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214,USW00003822,0.788,0,0,0,0,0,32.13,-81.21,GA,SAVANNAH INTL AP,United States,TRUE
SBA,Santa Barbara Municipal Airport-á(Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037,USW00023190,0.201,0,0,0,365,365,34.4258,-119.8425,CA,SANTA BARBARA MUNI AP,United States,TRUE
SBN,South Bend International Airport-á(South Bend Regional),South Bend,IN,USA,41.70895,-86.31847,USW00014848,0.26,0,0,0,0,0,41.7072,-86.3164,IN,SOUTH BEND MICHIANA RGNL AP,United States,TRUE
SBP,San Luis Obispo County Regional Airport-á(McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64239,USW00093206,0.091,1,1,0,31,33,35.2372,-120.6414,CA,SAN LUIS OBISPO AP,United States,TRUE
SCC,Deadhorse Airport-á(Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516,USW00027406,0.568,0,0,0,365,365,70.1917,-148.4772,AK,DEADHORSE AP,United States,TRUE
SCE,University Park Airport,State College,PA,USA,40.85121,-77.8463,USC00368449,6.683,0,0,0,1,1,40.7933,-77.8672,PA,STATE COLLEGE,United States,FALSE
